||MindWiki ||en         ||de        ||zh    ||ja
|LebensEnde|Death       |Tod        |死亡
|PlanetErde|Earth       |Erde       |地球
|          |Eye         |Auge       |眼
|          |Ear         |Ohr        |眼
|ZuKunft   |Future      |Zukunft    |未来    |
|          |Money       |Geld       |貨幣
|          |History     |Geschichte |歷史
|          |Game        |Spiel      |游戏
|MindPeople|Human       |Mensch     |人      |
|          |Life        |Leben      |生命
|          |Love        |Liebe      |愛
|          |Man         |Mann       |男性
|MiNd      |Mind        |Geist      |心靈
|          |Moon        |Mond       |月球
|GegenWart |Present     |Gegenwart  |今天
|          |Space       |Raum       |空间
|          |Time        |Zeit       |時間
|          |Water       |Wasser     |水
|          |Woman       |Frau       |女人
|          |World       |Welt       |世界
